UserID,DestinationID,Preferences,TripPurpose,GroupSize,TravelMode,Cost,TotalSpend,StayDuration,BookingSource,Weather,BudgetCategory,DurationCategory,ExperienceRating,SatisfactionScore,VisitDate
1,1883,Business,Business,Couple,Cab,43036,44236,1,Yatra,Sunny,Luxury,Short Trip,10,Highly Satisfied,03-08-2021
2,3592,Leisure,Honeymoon,Couple,Cab,6170,15770,8,MakeMyTrip,Rainy,Low Budget,Long Trip,8,Highly Satisfied,06-04-2022
3,4725,Religious,Religious,Solo,Train,47049,55449,7,Yatra,Cold,Luxury,Long Trip,10,Highly Satisfied,12-08-2023
4,192,Family,Leisure,Couple,Cab,48773,58373,8,Booking.com,Cold,Luxury,Long Trip,7,Satisfied,10-03-2024
5,1216,Family,Leisure,Solo,Train,52269,57069,4,Booking.com,Sunny,Luxury,Medium Trip,7,Satisfied,26-02-2024
6,1729,Leisure,Honeymoon,Couple,Flight,40708,41908,1,Booking.com,Rainy,Luxury,Short Trip,2,Unsatisfied,14-12-2024
7,3418,Family,Family,Family,Car,6754,16354,8,MakeMyTrip,Pleasant,Low Budget,Long Trip,9,Highly Satisfied,31-05-2024
8,4532,Leisure,Honeymoon,Couple,Flight,32834,35234,2,Goibibo,Sunny,Luxury,Short Trip,3,Unsatisfied,23-12-2021
9,4960,Leisure,Honeymoon,Couple,Flight,27984,32784,4,Goibibo,Cold,Medium Budget,Medium Trip,2,Unsatisfied,27-06-2021
10,139,Adventure,Adventure,Solo,Train,5267,11267,5,Goibibo,Pleasant,Low Budget,Medium Trip,8,Highly Satisfied,01-05-2023
11,2642,Business,Business,Solo,Cab,59531,69131,8,Cleartrip,Pleasant,Luxury,Long Trip,4,Neutral,03-03-2020
12,4426,Leisure,Family,Family,Cab,12218,18218,5,Yatra,Sunny,Medium Budget,Medium Trip,9,Highly Satisfied,10-04-2024
13,122,Family,Leisure,Solo,Car,59239,70039,9,Goibibo,Sunny,Luxury,Long Trip,4,Neutral,08-06-2024
14,2832,Family,Family,Family,Train,6872,15272,7,Goibibo,Pleasant,Low Budget,Long Trip,5,Neutral,24-11-2023
15,3600,Religious,Religious,Family,Cab,4930,10930,5,,Rainy,Low Budget,Medium Trip,3,Unsatisfied,03-10-2022
16,30,Family,Family,Family,Car,21255,23655,2,Cleartrip,Sunny,Medium Budget,Short Trip,5,Neutral,08-01-2021
17,1771,Leisure,Honeymoon,Couple,Cab,50755,55555,4,MakeMyTrip,Rainy,Luxury,Medium Trip,10,Highly Satisfied,18-05-2020
18,2782,Adventure,Adventure,Solo,Bike,3727,12127,7,Cleartrip,Cold,Low Budget,Long Trip,4,Neutral,16-11-2022
19,1221,Business,Business,Couple,Cab,17547,22347,4,Yatra,Cold,Medium Budget,Medium Trip,10,Highly Satisfied,26-08-2024
20,1627,Religious,Religious,Family,Car,15095,22295,6,Yatra,Sunny,Medium Budget,Long Trip,4,Neutral,30-08-2022
21,1963,Business,Business,Couple,Cab,33066,41466,7,MakeMyTrip,Pleasant,Luxury,Long Trip,4,Neutral,06-10-2024
22,234,Leisure,Honeymoon,Couple,Cab,51346,52546,1,Cleartrip,Pleasant,Luxury,Short Trip,6,Satisfied,17-10-2021
23,487,Family,Leisure,Couple,Train,32099,41699,8,MakeMyTrip,Pleasant,Luxury,Long Trip,10,Highly Satisfied,14-10-2022
24,2024,Religious,Religious,Couple,Cab,12135,15735,3,Yatra,Sunny,Medium Budget,Medium Trip,6,Satisfied,22-05-2023
25,4452,Family,Leisure,Couple,Bike,57383,59783,2,Cleartrip,Cold,Luxury,Short Trip,8,Highly Satisfied,17-11-2023
26,1612,Family,Leisure,Solo,Car,58339,63139,4,Cleartrip,Cold,Luxury,Medium Trip,9,Highly Satisfied,11-04-2023
27,2041,Leisure,Honeymoon,Couple,Flight,6707,7907,1,Yatra,Pleasant,Low Budget,Short Trip,5,Neutral,18-11-2023
28,2210,Adventure,Adventure,Group,Bike,49993,58393,7,Booking.com,Rainy,Luxury,Long Trip,3,Unsatisfied,28-06-2020
29,4513,Religious,Religious,Family,Car,31714,37714,5,Booking.com,Pleasant,Luxury,Medium Trip,7,Satisfied,31-07-2021
30,544,Leisure,Family,Family,Cab,38373,44373,5,MakeMyTrip,Rainy,Luxury,Medium Trip,8,Highly Satisfied,06-03-2024
31,229,Religious,Religious,Family,Train,48142,49342,1,,Sunny,Luxury,Short Trip,8,Highly Satisfied,07-09-2022
32,1003,Religious,Religious,Couple,Cab,33601,44401,9,Booking.com,Pleasant,Luxury,Long Trip,7,Satisfied,15-09-2024
33,3231,Leisure,Family,Family,Train,58314,60714,2,Booking.com,Cold,Luxury,Short Trip,8,Highly Satisfied,17-02-2020
34,3609,Leisure,Family,Family,Train,38457,42057,3,Goibibo,Cold,Luxury,Medium Trip,10,Highly Satisfied,06-09-2021
35,1363,Religious,Religious,Couple,Cab,57123,67923,9,Yatra,Pleasant,Luxury,Long Trip,1,Unsatisfied,07-10-2022
36,4031,Family,Leisure,Family,Cab,10132,13732,3,MakeMyTrip,Rainy,Medium Budget,Medium Trip,4,Neutral,18-03-2022
37,2236,Leisure,Family,Family,Train,48219,59019,9,Cleartrip,Cold,Luxury,Long Trip,9,Highly Satisfied,07-08-2022
38,2424,Business,Business,Couple,Train,14592,15792,1,Yatra,Cold,Medium Budget,Short Trip,7,Satisfied,20-03-2021
39,76,Family,Family,Family,Car,10601,14201,3,Yatra,Cold,Medium Budget,Medium Trip,9,Highly Satisfied,23-05-2022
40,3692,Leisure,Leisure,Solo,Train,35282,36482,1,Goibibo,Sunny,Luxury,Short Trip,6,Satisfied,13-11-2021
41,4679,Family,Family,Family,Train,50666,53066,2,Goibibo,Cold,Luxury,Short Trip,5,Neutral,22-01-2020
42,3717,Leisure,Honeymoon,Couple,Cab,46069,48469,2,Yatra,Pleasant,Luxury,Short Trip,7,Satisfied,20-01-2020
43,4627,Family,Leisure,Couple,Bike,49094,57494,7,Booking.com,Rainy,Luxury,Long Trip,6,Satisfied,28-12-2023
44,2009,Adventure,Adventure,Group,Car,49566,50766,1,Booking.com,Cold,Luxury,Short Trip,2,Unsatisfied,17-01-2023
45,2216,Leisure,Honeymoon,Couple,Flight,56571,61371,4,Goibibo,Pleasant,Luxury,Medium Trip,6,Satisfied,24-02-2024
46,4025,Leisure,Honeymoon,Couple,Cab,57624,62424,4,MakeMyTrip,Pleasant,Luxury,Medium Trip,4,Neutral,15-03-2022
47,4282,Business,Business,Couple,Cab,6018,15618,8,Goibibo,Rainy,Low Budget,Long Trip,5,Neutral,26-06-2020
48,160,Adventure,Adventure,Group,Train,50152,53752,3,Cleartrip,Rainy,Luxury,Medium Trip,5,Neutral,03-10-2022
49,1608,Family,Family,Family,Train,26330,28730,2,Booking.com,Pleasant,Medium Budget,Short Trip,9,Highly Satisfied,16-06-2021
50,3559,Family,Leisure,Group,Cab,13990,21190,6,MakeMyTrip,Pleasant,Medium Budget,Long Trip,5,Neutral,21-04-2020
51,4154,Leisure,Honeymoon,Couple,Cab,49696,52096,2,Yatra,Cold,Luxury,Short Trip,2,Unsatisfied,24-07-2024
52,1185,Family,Leisure,Family,Cab,7161,13161,5,Booking.com,Cold,Low Budget,Medium Trip,7,Satisfied,12-03-2020
53,2260,Leisure,Honeymoon,Couple,Cab,49089,59889,9,MakeMyTrip,Pleasant,Luxury,Long Trip,6,Satisfied,01-05-2024
54,2389,Family,Leisure,Solo,Bike,2635,9835,6,Booking.com,Rainy,Low Budget,Long Trip,10,Highly Satisfied,25-06-2023
55,2831,Adventure,Adventure,Solo,Car,56004,66804,9,MakeMyTrip,Rainy,Luxury,Long Trip,6,Satisfied,22-03-2023
56,375,Business,Business,Couple,Cab,27596,35996,7,Booking.com,Sunny,Medium Budget,Long Trip,5,Neutral,29-11-2023
57,1694,Leisure,Family,Family,Car,47065,57865,9,Yatra,Sunny,Luxury,Long Trip,3,Unsatisfied,03-05-2020
58,1716,Family,Family,Family,Train,57104,63104,5,Cleartrip,Sunny,Luxury,Medium Trip,5,Neutral,09-12-2021
59,3490,Adventure,Adventure,Group,Bike,16328,27128,9,Goibibo,Sunny,Medium Budget,Long Trip,10,Highly Satisfied,19-03-2021
60,1448,Leisure,Leisure,Group,Car,28742,32342,3,Goibibo,Cold,Medium Budget,Medium Trip,8,Highly Satisfied,14-01-2024
61,4258,Leisure,Leisure,Couple,Car,34217,35417,1,Cleartrip,Pleasant,Luxury,Short Trip,1,Unsatisfied,01-02-2022
62,4737,Business,Business,Couple,Cab,40182,49782,8,Yatra,Cold,Luxury,Long Trip,4,Neutral,15-01-2023
63,896,Leisure,Honeymoon,Couple,Cab,20212,26212,5,Booking.com,Cold,Medium Budget,Medium Trip,4,Neutral,12-10-2024
64,699,Business,Business,Solo,Cab,40758,50358,8,Booking.com,Rainy,Luxury,Long Trip,8,Highly Satisfied,18-04-2021
65,2506,Family,Leisure,Group,Bike,22815,33615,9,Goibibo,Sunny,Medium Budget,Long Trip,1,Unsatisfied,30-06-2022
66,1064,Business,Business,Solo,Flight,13276,18076,4,Goibibo,Rainy,Medium Budget,Medium Trip,8,Highly Satisfied,12-01-2022
67,4009,Adventure,Adventure,Solo,Train,17303,24503,6,Yatra,Sunny,Medium Budget,Long Trip,10,Highly Satisfied,06-04-2023
68,3634,Adventure,Adventure,Couple,Bike,54122,60122,5,Goibibo,Sunny,Luxury,Medium Trip,4,Neutral,14-07-2021
69,4248,Business,Business,Couple,Train,34194,41394,6,MakeMyTrip,Cold,Luxury,Long Trip,6,Satisfied,15-06-2022
70,1593,Leisure,Leisure,Solo,Bike,40597,42997,2,Yatra,Cold,Luxury,Short Trip,4,Neutral,21-07-2020
71,4924,Adventure,Adventure,Couple,Bike,22983,26583,3,Goibibo,Sunny,Medium Budget,Medium Trip,10,Highly Satisfied,12-09-2024
72,4939,Adventure,Adventure,Solo,Car,58685,65885,6,MakeMyTrip,Cold,Luxury,Long Trip,3,Unsatisfied,31-01-2022
73,231,Family,Family,Family,Car,36578,44978,7,MakeMyTrip,Pleasant,Luxury,Long Trip,2,Unsatisfied,21-12-2023
74,4461,Family,Leisure,Solo,Train,29682,36882,6,Yatra,Rainy,Medium Budget,Long Trip,2,Unsatisfied,10-04-2020
75,4721,Business,Business,Solo,Flight,56115,59715,3,Goibibo,Sunny,Luxury,Medium Trip,3,Unsatisfied,10-07-2024
76,1282,Leisure,Honeymoon,Couple,Flight,2819,13619,9,Booking.com,Pleasant,Low Budget,Long Trip,7,Satisfied,16-04-2022
77,3235,Leisure,Honeymoon,Couple,Cab,59642,66842,6,Cleartrip,Rainy,Luxury,Long Trip,10,Highly Satisfied,21-01-2021
78,1366,Leisure,Honeymoon,Couple,Flight,40906,44506,3,Cleartrip,Sunny,Luxury,Medium Trip,3,Unsatisfied,30-12-2022
79,2679,Religious,Religious,Family,Cab,11647,17647,5,Yatra,Sunny,Medium Budget,Medium Trip,1,Unsatisfied,19-11-2023
80,2053,Leisure,Leisure,Couple,Bike,26743,32743,5,Cleartrip,Cold,Medium Budget,Medium Trip,8,Highly Satisfied,06-08-2023
81,3149,Business,Business,Couple,Cab,30790,35590,4,Cleartrip,Cold,Luxury,Medium Trip,2,Unsatisfied,02-04-2024
82,2702,Leisure,Leisure,Couple,Train,47270,52070,4,Goibibo,Sunny,Luxury,Medium Trip,6,Satisfied,10-05-2024
83,3742,Family,Leisure,Solo,Car,9921,15921,5,Cleartrip,Cold,Low Budget,Medium Trip,8,Highly Satisfied,23-12-2021
84,2336,Religious,Religious,Family,Train,40306,43906,3,Booking.com,Sunny,Luxury,Medium Trip,7,Satisfied,09-06-2023
85,3436,Religious,Religious,Couple,Cab,25789,35389,8,Cleartrip,Pleasant,Medium Budget,Long Trip,7,Satisfied,09-07-2022
86,1552,Business,Business,Couple,Train,9775,16975,6,Booking.com,Pleasant,Low Budget,Long Trip,1,Unsatisfied,06-08-2024
87,2349,Leisure,Family,Family,Car,56262,67062,9,MakeMyTrip,Pleasant,Luxury,Long Trip,5,Neutral,02-10-2021
88,2353,Leisure,Honeymoon,Couple,Flight,21535,32335,9,Goibibo,Sunny,Medium Budget,Long Trip,7,Satisfied,05-12-2020
89,2933,Leisure,Leisure,Solo,Cab,45989,56789,9,Cleartrip,Pleasant,Luxury,Long Trip,8,Highly Satisfied,10-04-2022
90,2904,Leisure,Family,Family,Cab,2163,4563,2,Goibibo,Rainy,Low Budget,Short Trip,6,Satisfied,07-06-2023
91,943,Religious,Religious,Family,Cab,22750,27550,4,MakeMyTrip,Rainy,Medium Budget,Medium Trip,5,Neutral,27-08-2022
92,2496,Religious,Religious,Solo,Car,59265,66465,6,Cleartrip,Cold,Luxury,Long Trip,5,Neutral,03-02-2024
93,1123,Leisure,Honeymoon,Couple,Flight,16660,19060,2,Goibibo,Pleasant,Medium Budget,Short Trip,4,Neutral,15-07-2021
94,4346,Family,Leisure,Group,Cab,17459,25859,7,Booking.com,Pleasant,Medium Budget,Long Trip,2,Unsatisfied,11-08-2023
95,518,Religious,Religious,Solo,Train,33457,38257,4,Goibibo,Rainy,Luxury,Medium Trip,8,Highly Satisfied,11-12-2021
96,1283,Business,Business,Solo,Cab,51922,57922,5,Booking.com,Sunny,Luxury,Medium Trip,5,Neutral,04-12-2020
97,2199,Family,Family,Family,Train,45457,50257,4,Cleartrip,Sunny,Luxury,Medium Trip,9,Highly Satisfied,14-02-2024
98,2397,Religious,Religious,Couple,Cab,22307,33107,9,Goibibo,Sunny,Medium Budget,Long Trip,8,Highly Satisfied,14-08-2024
99,853,Business,Business,Solo,Cab,37292,44492,6,MakeMyTrip,Sunny,Luxury,Long Trip,4,Neutral,27-04-2024
100,1106,Family,Family,Family,Car,2544,13344,9,Cleartrip,Pleasant,Low Budget,Long Trip,4,Neutral,15-05-2023
101,1404,Family,Leisure,Couple,Car,14673,24273,8,Goibibo,Sunny,Medium Budget,Long Trip,8,Highly Satisfied,17-12-2021
102,1746,Family,Leisure,Solo,Cab,40199,50999,9,Booking.com,Cold,Luxury,Long Trip,6,Satisfied,20-03-2021
103,4155,Religious,Religious,Family,Train,43526,48326,4,Cleartrip,Sunny,Luxury,Medium Trip,7,Satisfied,14-11-2020
104,715,Family,Leisure,Group,Bike,11457,15057,3,MakeMyTrip,Cold,Medium Budget,Medium Trip,5,Neutral,03-01-2024
105,1374,Religious,Religious,Family,Train,3787,8587,4,Goibibo,Rainy,Low Budget,Medium Trip,1,Unsatisfied,07-10-2023
106,3822,Family,Leisure,Group,Train,10556,11756,1,Booking.com,Rainy,Medium Budget,Short Trip,10,Highly Satisfied,15-08-2024
107,2347,Religious,Religious,Couple,Cab,5698,8098,2,MakeMyTrip,Sunny,Low Budget,Short Trip,9,Highly Satisfied,04-08-2020
108,1213,Adventure,Adventure,Group,Bike,34995,37395,2,Goibibo,Sunny,Luxury,Short Trip,9,Highly Satisfied,06-12-2021
109,2368,Leisure,Leisure,Group,Cab,56450,67250,9,Goibibo,Cold,Luxury,Long Trip,3,Unsatisfied,15-08-2022
110,430,Religious,Religious,Family,Car,16908,25308,7,Goibibo,Pleasant,Medium Budget,Long Trip,8,Highly Satisfied,20-09-2024
111,198,Leisure,Honeymoon,Couple,Cab,11788,15388,3,Yatra,Cold,Medium Budget,Medium Trip,2,Unsatisfied,26-07-2021
112,2293,Leisure,Honeymoon,Couple,Flight,18572,29372,9,Yatra,Rainy,Medium Budget,Long Trip,1,Unsatisfied,26-12-2022
113,4165,Leisure,Leisure,Couple,Cab,55946,57146,1,Goibibo,Pleasant,Luxury,Short Trip,2,Unsatisfied,11-05-2023
114,2365,Leisure,Honeymoon,Couple,Cab,25480,26680,1,Booking.com,Sunny,Medium Budget,Short Trip,10,Highly Satisfied,11-08-2024
115,4973,Adventure,Adventure,Solo,Car,7705,17305,8,Goibibo,Rainy,Low Budget,Long Trip,8,Highly Satisfied,04-10-2022
116,1797,Religious,Religious,Couple,Cab,25933,28333,2,MakeMyTrip,Sunny,Medium Budget,Short Trip,1,Unsatisfied,11-08-2020
117,4400,Leisure,Honeymoon,Couple,Cab,47662,48862,1,Cleartrip,Cold,Luxury,Short Trip,6,Satisfied,10-12-2022
118,583,Leisure,Honeymoon,Couple,Flight,2027,8027,5,Yatra,Sunny,Low Budget,Medium Trip,6,Satisfied,25-11-2023
119,2010,Leisure,Leisure,Family,Cab,47883,52683,4,Goibibo,Cold,Luxury,Medium Trip,1,Unsatisfied,17-08-2023
120,4265,Adventure,Adventure,Couple,Car,50071,57271,6,Goibibo,Cold,Luxury,Long Trip,10,Highly Satisfied,26-09-2022
121,4325,Leisure,Family,Family,Cab,53958,63558,8,Cleartrip,Cold,Luxury,Long Trip,3,Unsatisfied,15-07-2022
122,4354,Family,Leisure,Group,Car,15091,24691,8,Booking.com,Rainy,Medium Budget,Long Trip,5,Neutral,22-07-2023
123,4070,Leisure,Family,Family,Car,21762,22962,1,,Cold,Medium Budget,Short Trip,3,Unsatisfied,04-06-2024
124,1454,Family,Family,Family,Cab,11000,18200,6,Booking.com,Pleasant,Medium Budget,Long Trip,7,Satisfied,19-06-2024
125,3800,Leisure,Honeymoon,Couple,Cab,34536,38136,3,Yatra,Pleasant,Luxury,Medium Trip,4,Neutral,14-02-2024
126,3897,Religious,Religious,Solo,Train,56039,59639,3,Goibibo,Pleasant,Luxury,Medium Trip,8,Highly Satisfied,27-02-2023
127,4094,Leisure,Honeymoon,Couple,Flight,21116,23516,2,Yatra,Pleasant,Medium Budget,Short Trip,8,Highly Satisfied,03-09-2024
128,42,Business,Business,Solo,Cab,42345,47145,4,Goibibo,Rainy,Luxury,Medium Trip,9,Highly Satisfied,01-12-2022
129,1130,Leisure,Honeymoon,Couple,Flight,36927,45327,7,Yatra,Cold,Luxury,Long Trip,7,Satisfied,11-03-2023
130,2731,Adventure,Adventure,Solo,Train,7658,11258,3,Goibibo,Pleasant,Low Budget,Medium Trip,6,Satisfied,31-08-2023
131,2087,Leisure,Leisure,Solo,Bike,14138,16538,2,Goibibo,Cold,Medium Budget,Short Trip,6,Satisfied,24-03-2022
132,3948,Family,Family,Family,Cab,46077,53277,6,Booking.com,Sunny,Luxury,Long Trip,1,Unsatisfied,13-07-2021
133,4974,Business,Business,Solo,Flight,50558,60158,8,Yatra,Cold,Luxury,Long Trip,1,Unsatisfied,02-01-2020
134,776,Religious,Religious,Family,Train,33282,40482,6,Cleartrip,Pleasant,Luxury,Long Trip,10,Highly Satisfied,20-01-2024
135,845,Leisure,Honeymoon,Couple,Flight,49577,60377,9,,Rainy,Luxury,Long Trip,5,Neutral,13-04-2023
136,2691,Family,Family,Family,Cab,33803,39803,5,Cleartrip,Cold,Luxury,Medium Trip,4,Neutral,03-07-2023
137,3687,Leisure,Honeymoon,Couple,Cab,22444,27244,4,Goibibo,Pleasant,Medium Budget,Medium Trip,10,Highly Satisfied,14-01-2024
138,2599,Business,Business,Couple,Cab,44462,46862,2,MakeMyTrip,Cold,Luxury,Short Trip,4,Neutral,13-06-2022
139,2992,Leisure,Honeymoon,Couple,Flight,9289,20089,9,Cleartrip,Rainy,Low Budget,Long Trip,6,Satisfied,21-07-2022
140,2504,Leisure,Honeymoon,Couple,Flight,57946,63946,5,Cleartrip,Sunny,Luxury,Medium Trip,4,Neutral,12-01-2023
141,2619,Business,Business,Solo,Cab,18469,29269,9,Goibibo,Pleasant,Medium Budget,Long Trip,9,Highly Satisfied,25-12-2021
142,3747,Leisure,Family,Family,Cab,56313,59913,3,MakeMyTrip,Sunny,Luxury,Medium Trip,2,Unsatisfied,12-04-2023
143,656,Adventure,Adventure,Solo,Bike,36592,41392,4,Goibibo,Sunny,Luxury,Medium Trip,6,Satisfied,07-03-2022
144,1304,Family,Family,Family,Cab,54147,63747,8,MakeMyTrip,Cold,Luxury,Long Trip,8,Highly Satisfied,16-11-2022
145,3095,Religious,Religious,Family,Cab,19424,24224,4,Booking.com,Cold,Medium Budget,Medium Trip,10,Highly Satisfied,06-01-2020
146,3206,Religious,Religious,Family,Cab,5687,15287,8,MakeMyTrip,Rainy,Low Budget,Long Trip,8,Highly Satisfied,18-01-2023
147,3578,Leisure,Family,Family,Cab,55342,60142,4,Goibibo,Cold,Luxury,Medium Trip,10,Highly Satisfied,10-06-2022
148,2940,Leisure,Honeymoon,Couple,Flight,54719,55919,1,Booking.com,Sunny,Luxury,Short Trip,9,Highly Satisfied,15-11-2021
149,4383,Family,Leisure,Family,Cab,25785,36585,9,Cleartrip,Sunny,Medium Budget,Long Trip,7,Satisfied,24-03-2020
150,312,Leisure,Honeymoon,Couple,Cab,32936,34136,1,MakeMyTrip,Pleasant,Luxury,Short Trip,7,Satisfied,06-10-2023
151,2618,Business,Business,Solo,Cab,44365,52765,7,Cleartrip,Cold,Luxury,Long Trip,10,Highly Satisfied,05-06-2024
152,2621,Leisure,Family,Family,Train,52140,54540,2,Yatra,Rainy,Luxury,Short Trip,9,Highly Satisfied,07-01-2024
153,775,Business,Business,Solo,Train,5372,10172,4,MakeMyTrip,Cold,Low Budget,Medium Trip,5,Neutral,24-10-2024
154,1659,Business,Business,Solo,Train,14086,23686,8,Cleartrip,Cold,Medium Budget,Long Trip,5,Neutral,16-05-2021
155,2568,Leisure,Family,Family,Car,2099,3299,1,Goibibo,Pleasant,Low Budget,Short Trip,7,Satisfied,09-06-2024
156,3676,Business,Business,Couple,Flight,27071,30671,3,Yatra,Cold,Medium Budget,Medium Trip,8,Highly Satisfied,09-08-2024
157,1374,Business,Business,Solo,Cab,12934,20134,6,Cleartrip,Sunny,Medium Budget,Long Trip,3,Unsatisfied,22-06-2024
158,3785,Religious,Religious,Solo,Car,56566,60166,3,Cleartrip,Cold,Luxury,Medium Trip,3,Unsatisfied,21-01-2020
159,1657,Leisure,Honeymoon,Couple,Flight,55084,56284,1,,Sunny,Luxury,Short Trip,3,Unsatisfied,28-02-2024
160,2735,Business,Business,Solo,Train,14076,22476,7,Yatra,Pleasant,Medium Budget,Long Trip,7,Satisfied,21-04-2022
161,3194,Business,Business,Solo,Train,22783,25183,2,Cleartrip,Sunny,Medium Budget,Short Trip,5,Neutral,26-08-2021
162,4602,Leisure,Family,Family,Car,11747,15347,3,Booking.com,Pleasant,Medium Budget,Medium Trip,7,Satisfied,05-08-2023
163,3047,Adventure,Adventure,Solo,Train,9334,10534,1,Cleartrip,Pleasant,Low Budget,Short Trip,1,Unsatisfied,28-04-2024
164,1251,Religious,Religious,Family,Car,32611,43411,9,Goibibo,Cold,Luxury,Long Trip,6,Satisfied,24-11-2021
165,1764,Leisure,Family,Family,Train,5905,9505,3,Booking.com,Sunny,Low Budget,Medium Trip,7,Satisfied,31-03-2023
166,3388,Leisure,Leisure,Solo,Bike,49709,52109,2,Booking.com,Sunny,Luxury,Short Trip,5,Neutral,10-06-2024
167,3963,Religious,Religious,Family,Car,3668,12068,7,Yatra,Rainy,Low Budget,Long Trip,8,Highly Satisfied,13-06-2023
168,4147,Business,Business,Solo,Flight,56709,67509,9,Yatra,Rainy,Luxury,Long Trip,6,Satisfied,10-04-2020
169,4980,Adventure,Adventure,Solo,Train,15150,23550,7,Cleartrip,Pleasant,Medium Budget,Long Trip,8,Highly Satisfied,14-07-2023
170,2050,Family,Family,Family,Cab,3093,4293,1,Goibibo,Cold,Low Budget,Short Trip,7,Satisfied,23-08-2021
171,2098,Leisure,Honeymoon,Couple,Flight,17383,20983,3,Booking.com,Pleasant,Medium Budget,Medium Trip,9,Highly Satisfied,23-06-2023
